Date,Open,High,Low,Close,Volume,Adj Close
4/24/17,908.679993,949.590027,903,924.98999,4268200,924.98999
4/17/17,887.5,910.5,887.5,898.530029,2774700,898.530029
4/10/17,899.630005,911.23999,884.48999,884.669983,2936300,884.669983
4/3/17,888,923.719971,885.419983,894.880005,5180600,894.880005
3/27/17,838.070007,890.349976,833.5,886.539978,3381600,886.539978
3/20/17,851.51001,862.799988,839.049988,845.609985,2683100,845.609985
3/13/17,851.77002,855.690002,847.109985,852.309998,2365800,852.309998
3/6/17,845.22998,857.349976,841.119995,852.460022,2325800,852.460022
2/27/17,842.380005,854.830017,839.669983,849.880005,2460400,849.880005
2/21/17,848.840027,860.859985,837.75,845.23999,3308600,845.23999
2/13/17,831.619995,847.27002,828.549988,845.070007,3126500,845.070007
2/6/17,809.799988,828,803,827.460022,3002400,827.460022
1/30/17,833,842.48999,804,810.200012,5593400,810.200012
1/23/17,806.799988,843.840027,805.080017,835.77002,3223200,835.77002
1/17/17,815.700012,816.02002,803.440002,808.330017,2968400,808.330017
1/9/17,798,821.650024,789.51001,817.140015,3522800,817.140015
1/3/17,757.919983,799.440002,747.700012,795.98999,4446700,795.98999
12/27/16,763.400024,780,748.280029,749.869995,3296300,749.869995
12/19/16,758.890015,774.390015,756.159973,760.590027,2461300,760.590027
12/12/16,766.400024,782.460022,754,757.77002,4446200,757.77002
12/5/16,745,773.789978,742,768.659973,3477200,768.659973
11/28/16,776.98999,777,736.700012,740.340027,4070600,740.340027
11/21/16,766,792.400024,765.109985,780.369995,3813800,780.369995
11/14/16,745.51001,767.73999,710.099976,760.159973,5116300,760.159973
11/7/16,771.640015,791.73999,717.700012,739.01001,7448900,739.01001
10/31/16,781.030029,800.840027,753.22998,755.049988,4947900,755.049988
10/24/16,824.950012,843.090027,774.609985,776.320007,5910900,776.320007
10/17/16,821.5,823.26001,803.099976,818.98999,2781900,818.98999
10/10/16,843.25,845.200012,821.210022,822.960022,2777300,822.960022
10/3/16,836,847.210022,830.26001,839.429993,2859800,839.429993
9/26/16,801.799988,839.950012,797.150024,837.309998,4049100,837.309998
9/19/16,779.969971,807.75,771,805.75,2677000,805.75
9/12/16,757.349976,780.460022,756,778.52002,3459600,778.52002
9/6/16,774.039978,790.789978,760.109985,760.140015,3108000,760.140015
8/29/16,768.719971,776,764,772.440002,1903100,772.440002
8/22/16,757.5,770,752.099976,769,1869400,769
8/15/16,771.900024,772.039978,756.890015,757.309998,1883200,757.309998
8/8/16,766.809998,773.75,761.02002,772.559998,1809900,772.559998
8/1/16,759.869995,770.5,750.349976,765.97998,3329100,765.97998
7/25/16,746.549988,766,732.75,758.809998,4503300,758.809998
7/18/16,735.48999,751.280029,728.719971,744.859985,2396100,744.859985
7/11/16,750,757.340027,734.049988,735.440002,3694600,735.440002
7/5/16,722.799988,746.099976,719.609985,745.809998,3186100,745.809998
6/27/16,692.01001,728,682.119995,725.679993,3690100,725.679993
6/20/16,713.5,722.119995,692.200012,698.960022,3706500,698.960022
6/13/16,714.01001,722.559998,699.179993,706.390015,3512800,706.390015
6/6/16,726.5,731.5,714.210022,717.909973,2651300,717.909973
5/31/16,712.330017,728.280029,711.320007,725.539978,3318800,725.539978
5/23/16,704.25,716.599976,696.419983,712.23999,2717900,712.23999
5/16/16,710.130005,714.469971,688.76001,702.799988,4155800,702.799988
5/9/16,673.950012,722.450012,671.409973,709.919983,5447500,709.919983
5/2/16,663.919983,685.5,656,673.950012,5073700,673.950012
4/25/16,616.609985,669.97998,599.200012,659.590027,5491200,659.590027
4/18/16,625.349976,638.01001,611.559998,620.5,3736300,620.5
4/11/16,596.140015,626.77002,592.309998,625.890015,3194700,625.890015
4/4/16,599,602.390015,585.25,594.599976,2682100,594.599976
3/28/16,584.400024,603.23999,575.559998,598.5,3400700,598.5
3/21/16,548.909973,583.549988,538.580017,582.950012,4581300,582.950012
3/14/16,567,581.52002,546.090027,552.080017,4818700,552.080017
3/7/16,573.539978,573.630005,547.900024,569.609985,4345000,569.609985
2/29/16,554,585,552.51001,575.140015,3984700,575.140015
2/22/16,542.200012,562.5,533.150024,555.22998,5050300,555.22998
2/16/16,519.47998,541.200012,511.660004,534.900024,4913000,534.900024
2/8/16,486.470001,516.75,474,507.079987,7294300,507.079987
2/1/16,578.150024,581.799988,499.190002,502.130005,7724700,502.130005
1/25/16,597.98999,638.059998,570,587,8401500,587
1/19/16,577.090027,600.099976,547.179993,596.380005,5711400,596.380005
1/11/16,612.47998,625.98999,565.299988,570.179993,6452600,570.179993
1/4/16,656.289978,657.719971,605.210022,607.049988,6610800,607.049988
12/28/15,665.559998,696.440002,665.5,675.890015,4188900,675.890015
12/21/15,668.5,669.900024,656.630005,662.789978,2433200,662.789978
12/14/15,641.75,682.5,635.27002,664.140015,4714100,664.140015
12/7/15,674.73999,679.98999,639.619995,640.150024,4291500,640.150024
11/30/15,675.900024,684.820007,661.400024,672.640015,4863400,672.640015
11/23/15,671.5,682.77002,661.210022,673.26001,3398300,673.26001
11/16/15,640.919983,672.859985,622.289978,668.450012,4965400,668.450012
11/9/15,658.650024,675.960022,640.450012,642.349976,4694200,642.349976
11/2/15,627.130005,662.26001,620.409973,659.369995,3943900,659.369995
10/26/15,602.299988,630.719971,596.289978,625.900024,3950600,625.900024
10/19/15,570.76001,619.450012,552.52002,599.030029,6103800,599.030029
10/12/15,539.960022,570.940002,539.679993,570.76001,3709800,570.76001
10/5/15,536.98999,551.5,519.890015,539.799988,3984000,539.799988
9/28/15,520.02002,532.599976,490.5,532.539978,4452600,532.539978
9/21/15,544.330017,549.780029,521.400024,524.25,3378900,524.25
9/14/15,529.440002,546.969971,517.200012,540.26001,3715700,540.26001
9/8/15,508.690002,529.950012,508.51001,529.440002,3496300,529.440002
8/31/15,516.440002,519.409973,493.429993,499,3283200,499
8/24/15,463.579987,522.690002,451,518.01001,6199300,518.01001
8/17/15,531.289978,539.48999,494.470001,494.470001,3616200,494.470001
8/10/15,528.52002,534.659973,513.059998,531.52002,2828900,531.52002
8/3/15,537.450012,542.73999,518.210022,522.619995,3325500,522.619995
7/27/15,527.75,544.950012,523.119995,536.150024,4657000,536.150024
7/20/15,492.570007,580.570007,475.700012,529.419983,8466600,529.419983
7/13/15,448.290009,485.420013,447.540009,483.01001,4141600,483.01001
7/6/15,435.230011,444.720001,425.570007,443.51001,2480800,443.51001
6/29/15,434.980011,440,429,437.709991,2170100,437.709991
6/22/15,437,447.040009,433.690002,438.100006,2510200,438.100006
6/15/15,427.660004,444.98999,422.640015,434.920013,2881300,434.920013
6/8/15,425.619995,438.890015,419.140015,429.920013,2322000,429.920013
6/1/15,430.399994,438.390015,426.200012,426.950012,2212300,426.950012
5/26/15,426.200012,432.5,422,429.230011,2350900,429.230011
5/18/15,426,436.899994,418.359985,427.630005,2638500,427.630005
5/11/15,432.51001,439,424.299988,426,2493300,426
5/4/15,424.799988,435.200012,414.549988,433.690002,2670800,433.690002
4/27/15,443.859985,446.98999,416,422.869995,4081300,422.869995
4/20/15,378.549988,452.649994,377,445.100006,7658200,445.100006
4/13/15,383.529999,387.809998,374.399994,375.559998,2466200,375.559998
4/6/15,370.100006,387.119995,369.359985,382.649994,2521500,382.649994
3/30/15,371.869995,377.700012,368.339996,372.25,2165100,372.25
3/23/15,378.070007,381.769989,365.649994,370.559998,2687300,370.559998
3/16/15,370.380005,379.369995,366.700012,378.48999,2544900,378.48999
3/9/15,378.399994,379.329987,366.26001,370.579987,2669800,370.579987
3/2/15,380.850006,388.420013,378.880005,380.089996,2333000,380.089996
2/23/15,383.440002,389.369995,376.160004,380.160004,2498300,380.160004
2/17/15,377.720001,383.700012,372.670013,383.660004,3133900,383.660004
2/9/15,371,383,367.200012,381.829987,2812900,381.829987
2/2/15,350.049988,378.799988,350.01001,374.279999,6350800,374.279999
1/26/15,311.820007,359.5,299.329987,354.529999,8333300,354.529999
1/20/15,292.589996,316.929993,286.390015,312.390015,5749800,312.390015
1/12/15,297.559998,301.5,285.25,290.73999,4183900,290.73999
1/5/15,307.01001,308.380005,292.380005,296.929993,2922800,296.929993
12/29/14,307.850006,314.75,306.579987,308.519989,2483300,308.519989
12/22/14,301.940002,310.779999,301.940002,309.089996,2781200,309.089996
