Date,Open,High,Low,Close,Volume,Adj Close
2017-4-24,908.679993,949.590027,903,924.98999,4268200,924.98999
2017-4-17,887.5,910.5,887.5,898.530029,2774700,898.530029
2017-4-10,899.630005,911.23999,884.48999,884.669983,2936300,884.669983
2017-4-3,888,923.719971,885.419983,894.880005,5180600,894.880005
2017-3-27,838.070007,890.349976,833.5,886.539978,3381600,886.539978
2017-3-20,851.51001,862.799988,839.049988,845.609985,2683100,845.609985
2017-3-13,851.77002,855.690002,847.109985,852.309998,2365800,852.309998
2017-3-6,845.22998,857.349976,841.119995,852.460022,2325800,852.460022
2017-2-27,842.380005,854.830017,839.669983,849.880005,2460400,849.880005
2017-2-21,848.840027,860.859985,837.75,845.23999,3308600,845.23999
2017-2-13,831.619995,847.27002,828.549988,845.070007,3126500,845.070007
2017-2-6,809.799988,828,803,827.460022,3002400,827.460022
2017-1-30,833,842.48999,804,810.200012,5593400,810.200012
2017-1-23,806.799988,843.840027,805.080017,835.77002,3223200,835.77002
2017-1-17,815.700012,816.02002,803.440002,808.330017,2968400,808.330017
2017-1-9,798,821.650024,789.51001,817.140015,3522800,817.140015
2017-1-3,757.919983,799.440002,747.700012,795.98999,4446700,795.98999
2016-12-27,763.400024,780,748.280029,749.869995,3296300,749.869995
2016-12-19,758.890015,774.390015,756.159973,760.590027,2461300,760.590027
2016-12-12,766.400024,782.460022,754,757.77002,4446200,757.77002
2016-12-5,745,773.789978,742,768.659973,3477200,768.659973
2016-11-28,776.98999,777,736.700012,740.340027,4070600,740.340027
2016-11-21,766,792.400024,765.109985,780.369995,3813800,780.369995
2016-11-14,745.51001,767.73999,710.099976,760.159973,5116300,760.159973
2016-11-7,771.640015,791.73999,717.700012,739.01001,7448900,739.01001
2016-10-31,781.030029,800.840027,753.22998,755.049988,4947900,755.049988
2016-10-24,824.950012,843.090027,774.609985,776.320007,5910900,776.320007
2016-10-17,821.5,823.26001,803.099976,818.98999,2781900,818.98999
2016-10-10,843.25,845.200012,821.210022,822.960022,2777300,822.960022
2016-10-3,836,847.210022,830.26001,839.429993,2859800,839.429993
2016-9-26,801.799988,839.950012,797.150024,837.309998,4049100,837.309998
2016-9-19,779.969971,807.75,771,805.75,2677000,805.75
2016-9-12,757.349976,780.460022,756,778.52002,3459600,778.52002
2016-9-6,774.039978,790.789978,760.109985,760.140015,3108000,760.140015
2016-8-29,768.719971,776,764,772.440002,1903100,772.440002
2016-8-22,757.5,770,752.099976,769,1869400,769
2016-8-15,771.900024,772.039978,756.890015,757.309998,1883200,757.309998
2016-8-8,766.809998,773.75,761.02002,772.559998,1809900,772.559998
2016-8-1,759.869995,770.5,750.349976,765.97998,3329100,765.97998
2016-7-25,746.549988,766,732.75,758.809998,4503300,758.809998
2016-7-18,735.48999,751.280029,728.719971,744.859985,2396100,744.859985
2016-7-11,750,757.340027,734.049988,735.440002,3694600,735.440002
2016-7-5,722.799988,746.099976,719.609985,745.809998,3186100,745.809998
2016-6-27,692.01001,728,682.119995,725.679993,3690100,725.679993
2016-6-20,713.5,722.119995,692.200012,698.960022,3706500,698.960022
2016-6-13,714.01001,722.559998,699.179993,706.390015,3512800,706.390015
2016-6-6,726.5,731.5,714.210022,717.909973,2651300,717.909973
2016-5-31,712.330017,728.280029,711.320007,725.539978,3318800,725.539978
2016-5-23,704.25,716.599976,696.419983,712.23999,2717900,712.23999
2016-5-16,710.130005,714.469971,688.76001,702.799988,4155800,702.799988
2016-5-9,673.950012,722.450012,671.409973,709.919983,5447500,709.919983
2016-5-2,663.919983,685.5,656,673.950012,5073700,673.950012
2016-4-25,616.609985,669.97998,599.200012,659.590027,5491200,659.590027
2016-4-18,625.349976,638.01001,611.559998,620.5,3736300,620.5
2016-4-11,596.140015,626.77002,592.309998,625.890015,3194700,625.890015
2016-4-4,599,602.390015,585.25,594.599976,2682100,594.599976
2016-3-28,584.400024,603.23999,575.559998,598.5,3400700,598.5
2016-3-21,548.909973,583.549988,538.580017,582.950012,4581300,582.950012
2016-3-14,567,581.52002,546.090027,552.080017,4818700,552.080017
2016-3-7,573.539978,573.630005,547.900024,569.609985,4345000,569.609985
2016-2-29,554,585,552.51001,575.140015,3984700,575.140015
2016-2-22,542.200012,562.5,533.150024,555.22998,5050300,555.22998
2016-2-16,519.47998,541.200012,511.660004,534.900024,4913000,534.900024
2016-2-8,486.470001,516.75,474,507.079987,7294300,507.079987
2016-2-1,578.150024,581.799988,499.190002,502.130005,7724700,502.130005
2016-1-25,597.98999,638.059998,570,587,8401500,587
2016-1-19,577.090027,600.099976,547.179993,596.380005,5711400,596.380005
2016-1-11,612.47998,625.98999,565.299988,570.179993,6452600,570.179993
2016-1-4,656.289978,657.719971,605.210022,607.049988,6610800,607.049988
2015-12-28,665.559998,696.440002,665.5,675.890015,4188900,675.890015
2015-12-21,668.5,669.900024,656.630005,662.789978,2433200,662.789978
2015-12-14,641.75,682.5,635.27002,664.140015,4714100,664.140015
2015-12-7,674.73999,679.98999,639.619995,640.150024,4291500,640.150024
2015-11-30,675.900024,684.820007,661.400024,672.640015,4863400,672.640015
2015-11-23,671.5,682.77002,661.210022,673.26001,3398300,673.26001
2015-11-16,640.919983,672.859985,622.289978,668.450012,4965400,668.450012
2015-11-9,658.650024,675.960022,640.450012,642.349976,4694200,642.349976
2015-11-2,627.130005,662.26001,620.409973,659.369995,3943900,659.369995
2015-10-26,602.299988,630.719971,596.289978,625.900024,3950600,625.900024
2015-10-19,570.76001,619.450012,552.52002,599.030029,6103800,599.030029
2015-10-12,539.960022,570.940002,539.679993,570.76001,3709800,570.76001
2015-10-5,536.98999,551.5,519.890015,539.799988,3984000,539.799988
2015-9-28,520.02002,532.599976,490.5,532.539978,4452600,532.539978
2015-9-21,544.330017,549.780029,521.400024,524.25,3378900,524.25
2015-9-14,529.440002,546.969971,517.200012,540.26001,3715700,540.26001
2015-9-8,508.690002,529.950012,508.51001,529.440002,3496300,529.440002
2015-8-31,516.440002,519.409973,493.429993,499,3283200,499
