Name,FileName
Amazon,AMAZON
JP Morgan,JP_MORGAN_CHASE
Pepsi,PEPSI
Southwest Airlines,SOUTHWEST_AIRLINES
Starbucks,STARBUCKS
Tesla,TESLA
United Airlines,UNITED
Wells Fargo,WELLS_FARGO
Wendys,WENDYS
